model,train_sec,auc,f1,precision,recall,accuracy,rows_total,rows_train,rows_test,feature_profile
LightGBM,12.972922086715698,0.9999994367530367,0.9996784048882457,0.9995980384275264,0.9997587842727346,0.9996666666666667,120000,96000,24000,web_monitor_60_v1
RandomForest,4.378939628601074,0.999998856121908,0.9996784048882457,0.9995980384275264,0.9997587842727346,0.9996666666666667,120000,96000,24000,web_monitor_60_v1
ExtraTrees,2.2874016761779785,0.9999992594345483,0.9995577178239717,0.9996783014315587,0.9994371633030473,0.9995416666666667,120000,96000,24000,web_monitor_60_v1
LogisticRegression,125.63657259941101,0.9744000778365581,0.9109748525302701,0.8804290750881404,0.9437163303047359,0.9044166666666666,120000,96000,24000,web_monitor_60_v1
