model,train_sec,auc,f1,precision,recall,acc,n_train,n_test,profile,sample_frac
LightGBM,3089.5055351257324,0.9999872026188146,0.9996282634182608,0.9994282120189834,0.9998283949204897,0.9996111044633241,133711,33428,web_monitor_60_v1,0.1
RandomForest,45.23199963569641,0.999966771649076,0.9994280812124678,0.9992566331198536,0.9995995881478091,0.9994016991743448,133711,33428,web_monitor_60_v1,0.1
LogisticRegression,76.95033502578735,0.9817509810632048,0.9432246554055999,0.949041635300249,0.9374785493650613,0.9409776235491205,133711,33428,web_monitor_60_v1,0.1
