model,train_sec,auc,f1,precision,recall,acc,rows_total,rows_train,rows_test,sample_frac,profile
LightGBM,1998.0242381095886,0.9999350873380142,0.9994275901545506,0.9988558352402745,1.0,0.9994017349685911,16714,13371,3343,0.01,web_monitor_60_v1
RandomForest,2.290959358215332,0.9996740021561046,0.9988558352402745,0.9977142857142857,1.0,0.9988034699371822,16714,13371,3343,0.01,web_monitor_60_v1
LogisticRegression,10.872721910476685,0.9849223307447167,0.9515669515669516,0.9467120181405896,0.9564719358533792,0.9491474723302423,16714,13371,3343,0.01,web_monitor_60_v1
