model,train_sec,auc,f1,precision,recall,accuracy,rows_total,rows_train,rows_test
LightGBM,9.219655990600586,0.9999807701483475,0.9988463756969813,0.9980787704130644,0.9996151625938041,0.9988,50000,40000,10000
HistGradientBoosting,1.854832649230957,0.9999189341566274,0.9979817395482941,0.9969278033794163,0.9990379064845103,0.9979,50000,40000,10000
LogisticRegression,32.556050300598145,0.9784066393306312,0.9418740279937792,0.9516794342958161,0.9322686165095248,0.9402,50000,40000,10000
