model,train_sec,auc,f1,precision,recall,acc,n_train,n_test
LightGBM,2869.003310441971,0.9999996411906729,0.9995253014335896,0.9990510533308028,1.0,0.9995014458071593,40113,10029
RandomForest,8.004035949707031,0.9999994418521578,0.9994303076338777,0.9990508731966591,0.9998100303951368,0.9994017349685911,40113,10029
LogisticRegression,86.65151834487915,0.9873335124722122,0.9594442358242583,0.9484038604305864,0.9707446808510638,0.9569249177385581,40113,10029
